id,D1_eq_px,D2_feret_max_px,D3_feret_min_px
1,7.653039857325812,8.0,7.0
2,8.058239062071396,8.0,8.0
3,7.898654169668588,8.485280990600586,7.071067810058594
4,7.735777827895049,7.77817440032959,7.77817440032959
5,8.058239062071396,8.0,8.0
6,7.776816725043752,8.0,7.0
7,8.018640596081465,8.0,8.0
8,8.175883811466258,8.0,8.0
9,7.776816725043752,8.0,7.0
10,7.898654169668588,8.485280990600586,7.071067810058594
11,7.48482063701911,7.0,7.0
12,7.858251581595959,8.0,7.0
13,7.938851142601841,8.0,7.0
14,7.356132180109627,7.0,7.0
15,7.858251581595959,8.0,7.0
16,7.399277020331919,7.0,7.0
17,7.776816725043752,8.0,7.0
18,7.776816725043752,8.0,7.0
19,7.399277020331919,8.0,7.0
20,7.938851142601841,8.0,7.0
21,7.776816725043752,8.0,7.0
22,7.817640190446719,7.77817440032959,7.77817440032959
23,8.018640596081465,8.0,8.0
24,7.569397566060481,7.77817440032959,7.77817440032959
25,7.978845608028654,7.77817440032959,7.77817440032959
