id,D1_eq_px,D2_feret_max_px,D3_feret_min_px
1,6.723094811029982,7.071067810058594,6.363960266113281
2,6.817128675830715,7.071067810058594,6.363961219787598
3,6.955796338302048,7.0,7.0
4,6.723094811029982,7.071067810058594,6.363960266113281
5,6.817128675830715,7.071067810058594,6.363961219787598
6,6.955796338302048,7.0,7.0
7,6.723094811029982,7.071067810058594,6.363960266113281
8,6.817128675830715,7.071067810058594,6.363961219787598
9,7.046725639945928,7.0,7.0
10,6.723094811029982,7.071067810058594,6.363960266113281
11,6.90988298942671,7.071067810058594,6.363961219787598
12,6.90988298942671,7.071067810058594,6.363961219787598
13,7.046725639945928,7.0,7.0
14,6.90988298942671,7.071067810058594,6.363961219787598
15,6.90988298942671,7.071067810058594,6.363961219787598
16,6.90988298942671,7.071067810058594,6.363961219787598
17,6.90988298942671,7.071067810058594,6.363961219787598
18,6.90988298942671,7.071067810058594,6.363961219787598
19,6.955796338302048,7.0,7.0
20,6.90988298942671,7.071067810058594,6.363961219787598
21,6.90988298942671,7.071067810058594,6.363961219787598
22,7.046725639945928,7.0,7.0
23,7.136496464611085,7.0,7.0
24,6.90988298942671,7.071067810058594,6.363961219787598
25,7.136496464611085,7.0,7.0
26,7.136496464611085,7.0,7.0
27,6.90988298942671,7.071067810058594,6.363961219787598
28,6.817128675830715,7.071067810058594,6.363960266113281
29,7.136496464611085,7.0,7.0
30,7.136496464611085,7.0,7.0
31,7.001408606295148,7.071067810058594,6.363961219787598
32,7.136496464611085,7.0,7.0
33,7.136496464611085,7.0,7.0
34,7.001408606295148,7.071067810058594,6.363961219787598
35,7.136496464611085,7.0,7.0
36,7.136496464611085,7.0,7.0
37,6.6755811781245455,6.363961219787598,6.363960266113281
38,7.136496464611085,7.0,7.0
39,7.136496464611085,7.0,7.0
40,6.90988298942671,7.071067810058594,6.363961219787598
41,6.90988298942671,7.071067810058594,6.363961219787598
42,7.136496464611085,7.0,7.0
43,6.90988298942671,7.071067810058594,6.363961219787598
44,6.90988298942671,7.071067810058594,6.363961219787598
45,7.136496464611085,7.0,7.0
46,6.4820448144285745,6.363961219787598,6.363960266113281
47,6.627726932618989,7.0,6.0
48,6.863662517577698,7.0,6.0
49,6.4820448144285745,6.363961219787598,6.363960266113281
50,6.627726932618989,7.0,6.0
51,6.863662517577698,7.0,6.0
52,6.4820448144285745,6.363961219787598,6.363960266113281
53,6.723094811029982,7.0,6.0
54,6.863662517577698,7.0,6.0
55,6.579524642479541,6.363961219787598,6.363960266113281
56,6.579524642479541,6.363961219787598,6.363960266113281
57,6.627726932618989,7.0,6.0
58,6.627726932618989,7.0,6.0
59,6.863662517577698,7.0,6.0
60,6.627726932618989,7.0,6.0
61,6.863662517577698,7.0,6.0
62,6.723094811029982,7.0,6.0
63,6.863662517577698,7.0,6.0
64,6.723094811029982,7.071067810058594,6.363960266113281
65,6.817128675830715,7.071067810058594,6.363961219787598
66,7.269074295019226,7.0,7.0
67,6.817128675830715,7.071067810058594,6.363960266113281
68,6.817128675830715,7.071067810058594,6.363961219787598
69,7.046725639945928,7.0,7.0
70,7.046725639945928,7.0,7.0
71,6.90988298942671,7.071067810058594,6.363961219787598
72,7.046725639945928,7.0,7.0
73,6.955796338302048,7.0,7.0
74,6.90988298942671,7.071067810058594,6.363961219787598
75,7.001408606295148,7.071067810058594,6.363961219787598
76,7.091753098990329,7.0,7.0
77,6.90988298942671,7.071067810058594,6.363961219787598
78,6.90988298942671,7.071067810058594,6.363961219787598
79,7.269074295019226,7.0,7.0
80,7.136496464611085,7.0,7.0
81,6.90988298942671,7.071067810058594,6.363961219787598
