id,D1_eq_px,D2_feret_max_px,D3_feret_min_px
1,61.21391982348119,147.0,27.0
2,202.02399265059,216.996826171875,189.7458038330078
3,67.66983096358386,241.0,21.0
4,207.17822016886677,213.5041046142578,207.51332092285156
5,199.04461382753288,224.72996520996094,177.4711456298828
6,168.10577531838976,176.56884765625,175.05386352539062
7,184.04690936860166,191.3243408203125,181.3750762939453
8,24.279825147895533,35.68505859375,20.391464233398438
9,277.7154097319054,369.3855285644531,228.76976013183594
10,254.20481898298337,392.80792236328125,203.7544403076172
11,209.38351712555087,237.80325317382812,190.36911010742188
12,21.513311565429245,39.07093811035156,17.4888973236084
13,184.3475974579713,209.48265075683594,167.7315673828125
14,175.11884837081004,179.5943603515625,173.9287109375
